id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order
101034344;point;cancer;EPND;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101034344;;24301389;;;;
101188045;point;climate;EOSC Gravity;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101188045;;237750;;;;
964430;point;climate;BreadCell;BIONANONET FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/964430;;231995;;;;
101131959;point;cancer;EVORA;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101131959;;214500;;;;
101217020;point;climate;INSIGHT;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101217020;;213650;;;;
101132446;point;climate;REUNIR;UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101132446;;212045;;;;
101017424;point;cancer;TIMELY;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101017424;;202500;;;;
101109673;point;climate;BORDERART;UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101109673;;19944096;;;;
101057497;point;waters;EDIAQI;KNOW CENTER RESEARCH GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101057497;;6766125;;;;
101132215;point;climate;INTERCEPTOR;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101132215;;19224063;;;;
101136765;point;climate;Unite.WIDENING;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101136765;;1866875;;;;
